mornington,モーニントン,Mornington,1
parea,パレア,Palea,0
farelio,ファレリオ,Farerio,0
gigi,ジジ,Gigi,1
catarratto,カタラット,Kataratto,0
raro,ラロ,Lalo,0
cariglio,カリーリオ,Karirio,0
offida,オフィーダ,Ofida,0
sassoalto,サッソアルト,Sassoaruto,0
naveran,ナヴァラン,Navu~aran,0
delian,ワイン,Wine,0
almarosa,アルマローザ,Arumaroza,0
degani,デガーニ,Degani,1
piglio,ピーリオ,Piglio,1
muncagota,ムンカゴタ,Munkagota,0
pleonio,ニオ,Niobium,0
orvieto,オルヴィエート,Orvieto,1
mesa,デエーサ,Deesa,0
furiuli,フリ,Pretend,0
naiagara,ナイアガラ,Niagara,0
aqutania,アキタニア,Aquitania,0
lorenzos,レンゾ,Renzo,0
lodovico,ロドヴィコ,Lodovico,1
fortoul,ボトル,Bottle,0
equus,エクウス,Equus,1
falangnina,ファランギーナ,Falanghina,0
ioppa,イオッパ,Ioppa,1
giancarlo,ジャンカルロ,Giancarlo,1
cavalchina,ァルキーナ,~Arukina,0
edetaria,エデタリア,Edetaria,1
cullen,カレン,Karen,0
dal,ガンベッラーラ,Gambellara,0
soda,ソーダー,Sodar,0
cravanzola,クラヴァンツォーラ,Kula Van Zoo La,0
poeti,ポエティ,Poeti,1
testamatta,テスタマッタ,Tesutamatta,0
fundi,フンディー,Fundi,1
billion,ビリオン,Virion,0
torino,ノ,Roh,0
it,パオレッティ,Paoletti,0
perle,レ,Le,0
casteja,カステジャ,Kasuteja,0
galopiere,レ,Le,0
baia,バイア,Via,0
modiri,モディリ,Modiri,1
ponso,ポンソ,Ponso,1
in,ワイン,Wine,0
vecchio,ヴェッキオ,Vecchio,1
cannubi,カンヌビ,Kan'nubi,0
cereceda,セレセダ,Sereseda,0
val,セッラ,Sella,0
vauban,ヴォーバン,Vauban,1
bastion,バスティオン,Bastion,1
aminio,ニオ,Niobium,0
reali,アリ,Ali,0
sabbiona,サッビオーナ,Sabbiona,1
caseibidini,カゼィビディニ,Kazibidini,0
tastevine,タストヴィネ,Tasutovu~ine,0
mathiot,シャトーマティオ,Chateau Matio,0
mareto,マレート,Malate,0
prenio,ニオ,Niobium,0
libelle,リベレ,Ribere,0
portela,ポルテーラ,Porutera,0
mmontefiascone,モンテフィアスコーネ,Montefiascone,0
lodano,ロダーノ,Rodano,0
cru,ブル,Bull,0
ardolou,アルドル,Arudoru,0
enate,エナーテ,Enate,1
esperanza,エスペランサ,Esperanza,1
carteddaro,カルテッダーロ,Karuteddaro,0
caballera,カバジェッラ,Kabajerra,0
monton,ムートン,Mouton,0
nature,テル,Tell,0
valdespino,ヴァルデスピノ,Vu~arudesupino,0
krotenbrunnen,クレーテンブルンネ,Clay Ten Brunn Ne,0
collina,コッリーナ,Collina,1
ginestet,サンテ,Sante,0
seillan,イラン,Iran,0
sin,ジン,Gin,0
bierzo,ビエルソ,Bierzo,1
kolibri,コリブリ,Colibri,0
astrolabium,アストロラビウム,Astro rabbi Umm,0
kauri,ローンカウリ,Lone Kauri,0
rajamagra,ラヤマグラ,Rayamagura,0
fermentato,フェルメンタァト,Fell Men Ta~ato,0
nieto,ニエト,Nieto,1
antico,アンティコ,Antico,1
grantglenlivet,グレングラントーグレンンリヴェット,Glen Grant over Glen down Rivu~e ~Tsu To,0
cienna,シエナ,Siena,0
renommee,レノメ,Renome,0
millesime,キレジメ,Kirejime,0
barrau,マル,Maru,0
roncaie,ロンカイエ,Ronkaie,0
siciliatonnara,トンナーラ,Tonnara,0
spatlese,レーゼ,Roese,0
metrano,メトラーノ,Metorano,0
valtelina,ヴァルテッリーナ,Valtellina,0
senorio,セニョリオ,Señorio,0
cargassachi,カーガサキ,Kagasaki,0
blumeri,ブルメーリ,Burumeri,0
apogee,ポジェ,Poje,0
rouget,アリゴテ,Aligote,0
piro,ピーロ,Pilo,0
geografico,ジェオグラーフィコ,Geo Ziegler Fi co,0
seran,セラン,Serang,0
thieriot,シエリオット,Shea Elliott,0
lagavulin,ラガヴァーリン,Ragavu~arin,0
dela,デラ,Della,0
semi,セミ,Cicada,0
monteagudo,モンテアグード,Monteagudo,1
grafin,グラッフィン,Guraffin,0
maclaren,マクラーレン,Mclaren,0
aiuto,ユート,Jud,0
ronchetto,ロンケット,Ronketto,0
tollo,トロ,Toro,0
elemental,エレメンタル,Elemental,1
rangi,アタランギ,Atarangi,0
monteforte,モンテフォルテ,Monteforte,1
tsubaki,ツバキ,Camellia,0
venere,ディヴェネーレ,Divu~enere,0
year,ソレラ,Solera,0
allozo,トロ,Toro,0
brovia,ブロヴィア,Burovu~ia,0
siegerrebe,ジーガレーベ,Jigarebe,0
novaserra,ノヴァセッラ,Novu~aserra,0
akhoebi,アクホエビ,Akuhoebi,0
villero,ヴィレッロ,Vu~irerro,0
arcatura,アルカトゥーラ,Arca Tula,0
berri,ベッリ,Berri,1
fontaleoni,フォンタレオーニ,Phone data Leoni,0
flaman,マン,Man,0
mevita,メヴィータ,Mevu~ita,0
violet,ヴァイオレット,Violet,1
cevico,チェヴィコ,Chevu~iko,0
madeila,マデイラ,Madeira,0
sasso,サッソ,Sasso,1
burdese,ブルデーゼ,Burudeze,0
pennino,ペニノ,Penino,0
renmano,レンマノ,Renmano,1
cocolico,ココリコ,Cocorico,0
neprica,ネプリカ,Nepurika,0
elio,エリオ,Elio,1
chacai,チャカイ,Tea,0
fuori,フオリ,Fuori,1
cuvee,キュヴェ,Cuvee,1
otto,オット,Ott,0
saintemiloin,ミリオン,Million,0
elsa,エルサ,Elsa,1
glenmorangie,グレンモーレンジ,Glenmorangie,1
jeandeman,ジャンデマン,Jandeman,0
tiki,ティキ,Tiki,1
montezemolo,モンテツェモロ,Montetsu~emoro,0
toso,トーゾ,Toso,1
gramenon,グラムノン,Guramunon,0
sanpetrolo,サンペトローロ,Sanpetororo,0
terradonna,テッラドンナ,Terradon'na,0
hermon,モン,Mon,0
avvoltore,アッヴォルトーレ,Up Voll Torre,0
